EK GARANTİ KODU;Tek ve Çift Kapılı Statik Buzdolapları (Ölçüler : Derinlik - Genişlik - Yükseklik);;;Eski Fiyat;Liste Fiyatı;Peşin Fiyat;KAMPANYASI;
;BFC 741 S;Auto Bake Teknolojisi,Et Probu,Buhar Destekli Pişirme,FitFry,AeroPerfect,Homewhiz,3D pişirme,PizzaPro,72lt,katalitik yan duvarlar,A++.siyah;;78.318 TL;65265;61999;;
;;;;;;;;
EK GARANTİ KODU;Sürgülü + Gömme Aspiratörler;;;Eski Fiyat;Liste Fiyatı;Peşin Fiyat;KAMPANYASI;
2ASP1;ADG 51310 I;Inox gömme aspiratör, 50cm, 381 m3, D;;15.162 TL;12635;11999;1000TL EK İNDİRİM UYGULANACAK;
2ASP2;P 38 TB;Beyaz sürgülü aspiratör, 60cm, 300 m3, C;;11.370 TL;9475;8999;;
;P 38 TI;Inox sürgülü aspiratör, 60cm, 300 m3, C;;11.370 TL;9475;8999;;
;P 38 TS;Siyah sürgülü aspiratör, 60cm, 300 m3, C;;11.370 TL;9475;8999;;
;;;;;;;;
EK GARANTİ KODU;Davlumbazlar;;;Eski Fiyat;Liste Fiyatı;Peşin Fiyat;KAMPANYASI;
2DVB1;ADP 61420 B;Duvar tipi davlumbaz, beyaz, 60cm, 400 m3, D;;17.688 TL;14740;13999;3000TL EK İNDİRİM UYGULANACAK;
;ADP 61420 S;Duvar tipi davlumbaz, siyah, 60cm, 400 m3, D;;17.688 TL;14740;13999;;
;ADP 61420 I;Duvar tipi davlumbaz, inox, 60cm, 400 m3, D;;17.688 TL;14740;13999;;
2DVB2;BDE 6050 HB;Duvar tipi 60 cm beyaz yatay cam ön yüzey, inox baca, 400 m3, B;;18.948 TL;15790;14999;;
;BDE 6050 S;Duvar tipi 60 cm siyah yatay cam ön yüzey, siyah baca, 400 m3, B;;18.948 TL;15790;14999;;
2DVB3;ADE 62540 B;Duvar tipi 60 cm beyaz perdeli cam ön yüzey, inox baca, 575 m3, C;;22.740 TL;18950;17999;;
;BDE 6053 S;Duvar tipi 60 cm siyah perdeli cam ön yüzey, siyah baca, 575 m3, C;;22.740 TL;18950;17999;;
2DVB4;BDT 6062 S;Duvar tipi 60 cm siyah cam ön yüzey, inox baca, 710 m3, NTC Sensör, A;;26.526 TL;22105;20999;;
2DVB5;BDE 6062 B;Duvar tipi 60 cm beyaz yatay cam ön yüzey, inox baca, 720 m3 , NTC Sensör, A;;24.000 TL;20000;18999;;
;BDE 6062 S;Duvar tipi 60 cm siyah  yatay cam ön yüzey, inox baca, 720 m3 , NTC Sensör, A;;24.000 TL;20000;18999;;
;BDE 6062 I;Duvar tipi 60 cm inox, yatay , NTC, 720m3, A;;24.000 TL;20000;18999;;
2DVB6;BDE 6072 B;Duvar tipi 60 cm beyaz  yatay cam ön yüzey,inox baca,850 m3 ,NTC & VOC Sensors,Prosmart Inverter,HomeWhiz,A++;;46.740 TL;38950;36999;;
;BDE 6072 S;Duvar tipi 60 cm siyah  yatay cam ön yüzey,inox baca, 850 m3 ,NTC & VOC Sensors,Prosmart Inverter,HomeWhiz,A++;;46.740 TL;38950;36999;;
2DVB7;BDA 9085 S;90 cm, Ada Tipi Davlumbaz, 830 m3,Prosmart Inverter,HomeWhiz,A+,NTC & VOC Sensors;;71.792 TL;65265;61999;;
-;ADV 9910 I;Duvar tipi inox, siyah dekorlu, dokunmatik, 90 cm, 755 m3;;3.476 TL;3160;2999;BEKONOMİK FIRSAT NAKİT;
;;;;;;;;
;ANKASTRE SET ALANA TKM 8961 A/S/K ÇİFTLİ KAHVE MAKİNESİ HEDİYE VEYA 4500TL EK İNDİRİM. ENTEGRE DAVLUMBAZLI OCAKLAR DAHİL DEĞİLDİR.;;;;;;;
;ANKASTRE SET ALANA TÜM ANKASTRE BULAŞIK MAKİNELERİ 4000 TL İNDİRİMLİ;;;;;;;
;ANKASTRE SET ALANA  ANKASTRE MİKRODALGA 3000 TL İNDİRİMLİ;;;;;;;
;;;;;;;;
;;;;;;;;
EK GARANTİ KODU;Gıda Hazırlama;;;Eski Fiyat;Liste Fiyatı;Peşin Fiyat;KAMPANYASI;
-;BKK 1151;Mikser, 425W, turbo, 4 kademe , beyaz;;3.156 TL;2630;2499;ÖZEL FİYATLI ÜRÜN;
-;MK 8150 I / HMM 81504 BX;Mikser, 500 W, turbo, hız kademeli , inox,  starligt;;3.792 TL;3160;2999;;
-;CHP 62522 W / BKK 1162;Doğrayıcı, 500w, çift bıçak, TEK kademe, 500 ml plastik hazne, beyaz;;3.792 TL;3160;2999;;
-;DO 8160 CI / CHG 81442 BX ;Doğrayıcı, 400 W, 1000 ml cam hazne,inox,starlight;;3.792 TL;3160;2999;;
-;HB 5410;Blender, 1500 W, 2 hız kademesi, turbo fonksiyonu, 900 ml plastik hazne, siyah;;3.162 TL;2635;2499;;
-;HBS 8170 CI;Blender, 750 W, yıldız bıçak, 12 hız kademesi,700ml ölçü kabı, inox, starlight;;5.178 TL;4315;4099;;
-;MS 5210;40 W , kendinden haznel, beyaz , narenciye sıkacağı;;2.526 TL;2105;1999;;
-;KB 5234 T;Personal Blender,Beyaz,350w,600ml, inox;;3.918 TL;3265;3099;;
-;BKK 2145;Inox katı meyve sıkacağı, 1500w, 750ml;;9.474 TL;7895;7499;;
-;SM 5670;SlushMix™Slush ve Buzlu İçecek Makineleri, 5 İçecek Modu , 5 Soğutma Modu ;;18.948 TL;15790;14999;;
-;TB 8180 CI;Blender,800 W, 1,75litre, cam hazne, inox, 6 Hız, starlight;;5.052 TL;4210;3999;;
-;RHB 2410 SİYAH;SİYAH El Blender,1500w,900mL ölçü kabı, turbo özellikli;;5.052 TL;4210;3999;;
-;RHB 5050 B SİYAH;Floral SİYAH El Blender,1500w,900mL ölçü kabı, hız kademesi 2, turbo özellikli;;6.318 TL;5265;4999;;
-;RHB 5050 ;Floral Beyaz, El Blender,1500w,900mL ölçü kabı, hız kademesi 2, turbo özellikli;;6.318 TL;5265;4999;;
-;RHB 5050 R;Floral Rose Gold  El Blender,1500w,900mL ölçü kabı, hız kademesi 2, turbo özellikli;;6.318 TL;5265;4999;;
-;YM 8242 I;Yoğurt Chef  Probiyotik Yoğurt & Kefir mak. ;;34.104 TL;28420;26999;;
-;MM 5471 S;1500 W, mutfak robotu,Siyah;;12.630 TL;10525;9999;;
-;MM 8042 DS;1000 W, HomeChef® Mutfak Makinesi, Siyah, 12 Hız ayarlı, Profesyonel mutfak robotu;;35.370 TL;29475;27999;;
-;KM 5024 M;2200 W , kıyma makinesi , içli köfte ve sosis aparatı , Beyaz;;13.896 TL;11580;10999;;
;;;;;;;;
EK GARANTİ KODU;Pişiriciler - Isıtıcılar - İçecek Hazırlama;;;Eski Fiyat;Liste Fiyatı;Peşin Fiyat;KAMPANYASI;
-;WKM4215W;Kettle 1,7 litre, 2200 W, Beyaz;;2.526 TL;2105;1999;ÖZEL FİYATLI ÜRÜN;
-;KL 8022 I;Kettle 1,7 litre, 2200 W, Inox;;2.526 TL;2105;1999;;
-;WKM 5422 I;Kettle 1,7 litre, 2200 W, Cam gövdeli , inox-siyah;;3.156 TL;2630;2499;;
-;TKM 2341 B;Telve monus, Türk kahve makinesi, Beyaz;;5.052 TL;4210;3999;;
-;TKM 2341 S;Telve monus, Türk kahve makinesi, Siyah;;5.052 TL;4210;3999;;
-;TKM 5448;Keyf-i Bol Sütlü Türk Kahve Makinesi , 5 fincan , Gri;;5.814 TL;4845;4599;;
-;BKK-2300 S;Mini Keyf, türk kahve makinesi, SİYAH;;6.570 TL;5475;5199;;
-;BKK-2300 B;Mini Keyf, türk kahve makinesi, BEYAZ;;6.570 TL;5475;5199;;
-;BKK-2300 RG;Mini Keyf, türk kahve makinesi, ROSE GOLD;;6.570 TL;5475;5199;;
-;TKM 8961 A;İkili Keyf, 6 fincan kapasiteli, indiksiyon tabanlı, türk kahve makinesi, siyah-inox;;13.896 TL;11580;10999;;
-;TKM 8961 S;İkili Keyf, 6 fincan kapasiteli, indiksiyon tabanlı, türk kahve makinesi, siyah;;13.896 TL;11580;10999;;
-;FCM1321W;Beyaz filtre kahve makinesi,1000W,aroma ayar fon, 10 fincan;;6.318 TL;5265;4999;;
-;CFM6350I;Inox filtre kahve makinesi, 1000W, 10 fincan;;6.318 TL;5265;4999;;
-;CEP 5304 X;Yarı Oto. Espresso Mak.,1350w;;15.156 TL;12630;11999;;
-;CEP 6464 X;Kapsüllü Yarı Otomatik Espresso Makinesi , 1628W;;16.422 TL;13685;12999;;
-;CEG 7348 X;Tam Oto. Espresso Mak.,1350w, 19 bar, 18 kahve çeşiti;;42.948 TL;35790;33999;;
-;BKK 2221 C;Cam demlikli çay makinası, 1650w, 1.8lt, Siyah;;5.052 TL;4210;3999;;
-;CM 5342 IN;INOX demlikli çay makinası, 1650w, 1.7lt, Inox;;6.570 TL;5475;5199;;
-;CM 5964 SİYAH;Komple Cam çay makinesi,1900w, 2lt, Siyah;;6.948 TL;5790;5499;;
-;CM 5964 BEYAZ;Komple Cam çay makinesi,1900w, 2lt, Beyaz ;;6.948 TL;5790;5499;;
-;CM 5964 ROSE;Komple Cam çay makinesi,1900w, 2lt, Rose Gold ;;6.948 TL;5790;5499;;
-;SE 8036 I;Semaver,2200w, 3.5lt su ısıtıcı haznesi, 1.2lt demlik kapasitesi,Inox;;13.896 TL;11580;10999;;
-;CFM 8147 I;1800 W, Siyah-Inox, Otomatik Çay & Filtre makinesi, Dem 0.8 L,Su Isıtıcı 1.8 L;;21.474 TL;17895;16999;;
-;CFM 8449 I;1800 W, Siyah-Cam, Otomatik Çay & Filtre makinesi, Dem 0.8 L,Su Isıtıcı 1.8 L;;21.474 TL;17895;16999;;
-;TM 5206 G;2000 W, 4 kademeli ısı, yapışmaz yüzey,GRİ;;7.578 TL;6315;5999;;
-;TM 5306 S;2000 W, yapışmaz yüzey, Tost grill (Siyah),GRANIT plaka;;7.578 TL;6315;5999;;
-;TM 5046 CB;2400w, 5 kademeli ısı, ızgara fonksiyonu, yapışmaz yüzey, Tost Grill ,Siyah;;11.244 TL;9370;8899;;
-;TM 5046 C;2400w, 5 kademeli ısı, ızgara fonksiyonu, yapışmaz yüzey, Tost Grill ,Beyaz;;11.244 TL;9370;8899;;
-;TM 5046 CR;2400w, 5 kademeli ısı, ızgara fonksiyonu, yapışmaz yüzey, Tost Grill ,Rose Gold;;11.244 TL;9370;8899;;
;TM 8946 I;2000w, 5 kademeli ısı, ızgara fonksiyonu, yapışmaz yüzey, Tost Grill ,Inox;;11.244 TL;9370;8899;;
-;TAM4220W;800 W , 6 ısı pişirme ayarlı , buz çözme , 2 dilim hazneli , beyaz , ekmek kızartma mak.;;3.792 TL;3160;2999;;
-;TAM7321I;850 W , 6 ısı pişirme ayarlı , buz çözme , 2 dilim hazneli , inox , ekmek kızartma mak.;;3.792 TL;3160;2999;;
-;TAM4201B;850 W , 7 ısı pişirme ayarlı , buz çözme , 2 dilim hazneli , siyah , ekmek kızartma mak.;;3.792 TL;3160;2999;;
-;FRL 2242 B;Fritöz Siyah,1500w,3.9 Lt, zaman ayarlayıcı,sıcaklık kontrollü;;17.688 TL;14740;13999;;
-;FR 8284;Fritöz Siyah,2400w,8.5 Lt, zaman ayarlayıcı,sıcaklık kontrollü,çift hazne;;21.474 TL;17895;16999;;
-;MC 5056 I;1100w,Siyah-Inox,ExpertChef,10prog,5.5L,Multi Cooker çok amaçlı pişirici;;15.156 TL;12630;11999;;
-;MC 5251;1100w,Siyah-Inox,ExpertChef,5.5L,Multi Cooker çok amaçlı pişirici,Elektronik;;24.000 TL;20000;18999;;
-;KL 8221 I;Kettle 1,2 litre, 2200 W, Inox;;1.266 TL;1055;1000;WEB ÖZEL;
-;FK 5112 I;Inox filtre kahve makinesi, 1000W, 12 fincan, Dijital;;3.792 TL;3160;2899;;
EK GARANTİ KODU;Süpürgeler + Pratik El Süpürgeleri;;;Eski Fiyat;Liste Fiyatı;Peşin Fiyat;KAMPANYASI;
-;BKK 1194;Şarjlı el süpürgesi , 0.5lt , 150ml su haznesi kapasitesi, 7.2v, yeşil;;4.285 TL;3895;3699;ÖZEL FİYATLI ÜRÜN;
-;RS 2221;Robot süpürge , wifi , 0.4lt , 110 metre kare temizleme alanı , beyaz , ;;29.052 TL;24210;22999;;
-;VRR 82314 VB;Sarj istasyonlu, haritalama,paspas, wifi,Robot Süpürge,150m2temizlik alanı,0.4L,94.5-34.2-34.2;;42.845 TL;38950;36999;;
-;VRT 51225 VB;Şarjli kablosuz dik süpürge,beyaz,kablosuz,Li-Ion pil,0.55lt, 150w;;15.162 TL;12635;11999;;
-;SD 2341;Şarjli kablosuz dik süpürge,beyaz,kablosuz,Li-Ion pil,0.70lt, 150w;;15.162 TL;12635;11999;;
-;SD 2141;Şarjli kablosuz dik süpürge,beyaz,kablosuz,Li-Ion pil,0.55lt, 110w;;15.162 TL;12635;11999;;
-;SD 5141;Şarjli kablosuz dik süpürge,siyah-mavi,kablosuz,Li-Ion pil,0.55lt,350w;;20.214 TL;16845;15999;;
-;SD 8161;Şarjli kablosuz dik süpürge,siyah-rose,kablosuz,Li-Ion pil,0.9lt,550w,otomatik zemin algılama,katlanabilir boru;;25.266 TL;21055;19999;;
-;SD 5341;Şarjli kablosuz dik süpürge,siyah-mavi,kablosuz,Li-Ion pil,0.5lt,250w,ıslak/kuru;;25.266 TL;21055;19999;;
-;VRT 97325 VY;Şarjlı, kablosuz dik süpürge,siyah,kablosuz,Li-Ion pi,2,5lt,450w,All in Zone Toz Boşaltma ve Şarj İstasyonu,AdaptEdge Fırça Teknolojisi ve Yeşil Led Işık,ActiFlex Kolay Katlanabilir Boru,SpinWash Mop Başlığı,Multisiklon Filtre;;37.896 TL;31580;29999;;
-;TSZ 2282;800 W, toz torbasız, 2.5 LT toz kapasiteli;;9.474 TL;7895;7499;;
-;VCO 32801 AR;800 W, toz torbasız, 1,8 LT toz kapasiteli, Hepa 12 ,KIRMIZI;;10.104 TL;8420;7999;;
-;TSZ 5282;890 W, toz torbasız, 2,7 LT toz kapasiteli, Hepa 12 ,ROSE , saptan kontrollü;;15.162 TL;12635;11999;;
-;TSZ 5083;750 W, toz torbasız, 3 LT toz kapasiteli, Hepa 12 , MAVİ;;17.682 TL;14735;13999;;
;;;;;;;;
EK GARANTİ KODU;Ütüler;;;Eski Fiyat;Liste Fiyatı;Peşin Fiyat;KAMPANYASI;
-;BKG 5916;1600 W, 25gr/dk, 230 mL su haznesi, Buharlı Kırışık Giderici;;3.792 TL;3160;2999;ÖZEL FİYATLI ÜRÜN;
-;SIM 3124 D;2400 W, Auto-off, seramik taban, 120 gr şok buhar, 30 gr/dk, yeşil, otomatik kapanma;;3.792 TL;3160;2999;;
-;SIM 3126 R;2600 W, Auto-off buharlı ütü, seramik taban,mor,150gr şok buhar,240ml,otomatik kapanma;;5.052 TL;4210;3999;;
-;BEU 8030 M;3000 W, 270gr şok buhar, sürekli buhar dakikada 55gr, otomatik kapanma, seramik taban, rose;;7.074 TL;5895;5599;;
-;BEU 8030 D / SPA 9130 B;3000 W, 280gr şok buhar, sürekli buhar dakikada 63gr, otomatik kapanma, seramik taban, mavi;;7.578 TL;6315;5999;;
-;SGA 6126 R;2600 W, 6 bar, buhar kazanlı ütü, seramik taban, özel buhar gücü, smart, 110 gr/dk, mor;;18.318 TL;15265;14499;;
-;BKU 8026;2600 W, 1,8lt, 420gr şok buhar, sürekli buhar dakikada 120gr, smart, otomatik kapanma, seramik taban, rose;;18.318 TL;15265;14499;;
-;BKU 8928;2800 W, 7,2 Bar, 1,8lt, 450gr şok buhar, sürekli buhar dakikada 130gr, smart, otomatik kapanma, seramik taban, mor;;18.948 TL;15790;14999;;
-;BKU 8130;3000 W, 8 Bar, 1,8lt, 600gr şok buhar, sürekli buhar dakikada 165gr, smart, otomatik kapanma, seramik taban, mor;;21.474 TL;17895;16999;;
-;SGA 8130 C;3000 W, 8 Bar, 1,8lt, 600gr şok buhar, sürekli buhar dakikada 165gr, smart, otomatik kapanma, seramik taban, ROSE;;21.474 TL;17895;16999;;
;;;;;;;;
EK GARANTİ KODU;Mono Split Duvar Tipi Klimalar;;;Eski Fiyat;Liste Fiyatı;Peşin Fiyat;KAMPANYASI;
2KLM1;BEVPG 095/096;9000 Btu/h , Ayarlanabilir Soğutma Kapasitesi Aralığı (Btu/h) 3100~11600, Ayarlanabilir Isıtma Kapasitesi Aralığı (Btu/h) 2800~11500, Enerji Seviyesi -(92/75/EEC) Soğutma A++ / Isıtma A+, Inverter , Yüksek Yoğunluklu Filtre , Aktif Karbon Filtresi, Soğuk Katalizör Filtresi;;25.266 TL;21055;19999;BEKONOMİK FIRSAT     2. KLİMA ALINIR İSE İLAVE 1000TL İNDİRİM UYGULANACAK. 3. KLİMA ALINIR İSE İLAVE 1000TL DAHA İNDİRİM UYGULANACAK. YANİ 2. KLİMA İTİBARIYLA HER ALINACAK KLİMAYA İLAVE 1000TL İNDİRİM UYGULANACAK.;
2KLM2;BEVPG 125/126;12000 Btu/h , Ayarlanabilir Soğutma Kapasitesi Aralığı (Btu/h) 3800~13500, Ayarlanabilir Isıtma Kapasitesi Aralığı (Btu/h) 3700~14300, Enerji Seviyesi -(92/75/EEC) Soğutma A++ / Isıtma A+, Inverter , Yüksek Yoğunluklu Filtre , Aktif Karbon Filtresi, Soğuk Katalizör Filtresi;;27.792 TL;23160;21999;;
2KLM3;BEVPG 180/181;18000 Btu/h , Ayarlanabilir Soğutma Kapasitesi Aralığı (Btu/h) 6600~21400, Ayarlanabilir Isıtma Kapasitesi Aralığı (Btu/h) 4400~23900, Enerji Seviyesi -(92/75/EEC) Soğutma A++ / Isıtma A+, Inverter , Yüksek Yoğunluklu Filtre , Aktif Karbon Filtresi, Soğuk Katalizör Filtresi;;39.162 TL;32635;30999;;
2KLM4;BEVPG 240/241;24000 Btu/h , Ayarlanabilir Soğutma Kapasitesi Aralığı (Btu/h) 10300~30000, Ayarlanabilir Isıtma Kapasitesi Aralığı (Btu/h) 5200~32300, Enerji Seviyesi -(92/75/EEC) Soğutma A++ / Isıtma A+, Inverter , Yüksek Yoğunluklu Filtre , Aktif Karbon Filtresi, Soğuk Katalizör Filtresi;;50.526 TL;42105;39999;;
2KLM5;BEHPG 090/091;9000 Btu/h , Ayarlanabilir Soğutma Kapasitesi Aralığı (Btu/h) 3100~11600, Ayarlanabilir Isıtma Kapasitesi Aralığı (Btu/h) 2800~11500, Enerji Seviyesi -(92/75/EEC) Soğutma A++ / Isıtma A+, Inverter , Yüksek Yoğunluklu Filtre , Aktif Karbon Filtresi, Soğuk Katalizör Filtresi , Wifi bağlantı;;26.526 TL;22105;20999;;
2KLM6;BEHPG 125/126;12000 Btu/h , Ayarlanabilir Soğutma Kapasitesi Aralığı (Btu/h) 3800~13500, Ayarlanabilir Isıtma Kapasitesi Aralığı (Btu/h) 3700~14300, Enerji Seviyesi -(92/75/EEC) Soğutma A++ / Isıtma A+, Inverter , Yüksek Yoğunluklu Filtre , Aktif Karbon Filtresi, Soğuk Katalizör Filtresi , Wifi bağlantı;;29.052 TL;24210;22999;;
2KLM7;BEHPG 180/181;18000 Btu/h , Ayarlanabilir Soğutma Kapasitesi Aralığı (Btu/h) 6600~21400, Ayarlanabilir Isıtma Kapasitesi Aralığı (Btu/h) 4400~23900, Enerji Seviyesi -(92/75/EEC) Soğutma A++ / Isıtma A+, Inverter , Yüksek Yoğunluklu Filtre , Aktif Karbon Filtresi, Soğuk Katalizör Filtresi , Wifi bağlantı;;40.422 TL;33685;31999;;
2KLM8;BEHPG 245/246;24000 Btu/h , Ayarlanabilir Soğutma Kapasitesi Aralığı (Btu/h) 10300~30000, Ayarlanabilir Isıtma Kapasitesi Aralığı (Btu/h) 5200~32300, Enerji Seviyesi -(92/75/EEC) Soğutma A++ / Isıtma A+, Inverter , Yüksek Yoğunluklu Filtre , Aktif Karbon Filtresi, Soğuk Katalizör Filtresi , Wifi bağlantı;;51.792 TL;43160;40999;;
2KLM6;BEEPG 095/096;9000 Btu/h , Ayarlanabilir Soğutma Kapasitesi Aralığı (Btu/h) 3500~11000, Ayarlanabilir Isıtma Kapasitesi Aralığı (Btu/h) 2800~11500, Enerji Seviyesi -(92/75/EEC) Soğutma A+++ / Isıtma A++, Inverter , Yüksek Yoğunluklu Filtre , Aktif Karbon Filtresi, Soğuk Katalizör Filtresi , Wifi bağlantı;;29.052 TL;24210;22999;;
2KLM9;BEEPG 125/126;12000 Btu/h , Ayarlanabilir Soğutma Kapasitesi Aralığı (Btu/h) 4700~14700, Ayarlanabilir Isıtma Kapasitesi Aralığı (Btu/h) 3640~14950, Enerji Seviyesi -(92/75/EEC) Soğutma A+++ / Isıtma A++, Inverter , Yüksek Yoğunluklu Filtre , Aktif Karbon Filtresi, Soğuk Katalizör Filtresi , Wifi bağlantı;;31.578 TL;26315;24999;;
2KLM10;BEEPG 180/181;18000 Btu/h , Ayarlanabilir Soğutma Kapasitesi Aralığı (Btu/h) 6800~19800, Ayarlanabilir Isıtma Kapasitesi Aralığı (Btu/h) 4600~21500, Enerji Seviyesi -(92/75/EEC) Soğutma A+++ / Isıtma A++, Inverter , Yüksek Yoğunluklu Filtre , Aktif Karbon Filtresi, Soğuk Katalizör Filtresi , Wifi bağlantı;;49.266 TL;41055;38999;;
2KLM11;31826/31825;18000 Btu/h R32  Split soğutma A++ , ısıtma A+ Inverter;;32.844 TL;27370;25999;WEB;
;;;;;;;;
;LED TV;;;;;;;
EK GARANTİ KODU;ANDROID ÖZELLİKLİ HD / FHD TV'LER;;;Eski Fiyat;Liste Fiyatı;Peşin Fiyat;KAMPANYASI;
2TV1;B32 D 696 B;32'/80 cm, HD görüntü, Android TV, 2 x 8/16 W nominal/music power (R/L), NETFLIX, DVB-T2/C/S2, 2 HDMI - 1 USB GİRİŞİ, E, SİYAH;;15.162 TL;12635;11999;ÖZEL FİYATLI ÜRÜN;
2TV2;B40 D 697 B;40'/100 cm, FHD görüntü, Android TV, 2 x 8/16 W nominal/music power (R/L), NETFLIX, DVB-T2/C/S2, 2 HDMI - 1 USB GİRİŞİ, E , SİYAH;;20.214 TL;16845;15999;;
2TV3;B43 D 697 B;43'/108 cm, FHD görüntü, Android TV, 2 x 8/16 W nominal/music power (R/L), NETFLIX, DVB-T2/C/S2, 2 HDMI - 1 USB GİRİŞİ, D , SİYAH;;22.740 TL;18950;17999;;
EK GARANTİ KODU;4K , NETFLIX ÖZELLİKLİ ANDROID UHD TV'LER;;;Eski Fiyat;Liste Fiyatı;Peşin Fiyat;KAMPANYASI;
2TV4;B43 E 795 B / B43 D 790 B;43inç, LED TV (108cm), Android, Netflix, Sİyah, Micro Dimming, HDR10+, Dolby Vision,2 x 10 / 20 Watt nominal / müzik gücü, DVB-T2/C/S2, 3 HDMI - 2 USB GİRİŞİ, F, Parlaklık 250 nits;;21.474 TL;21055;19999;ÖZEL FİYATLI ÜRÜN;
2TV5;B50 E 795 B ;50inç, LED TV (126cm), Android, Netflix, Sİyah, Micro Dimming, HDR10+, Dolby Vision,2 x 10 / 20 Watt nominal / müzik gücü, DVB-T2/C/S2, 3 HDMI - 2 USB GİRİŞİ, F, Parlaklık 250 nits;;25.266 TL;23160;21999;;
2TV6;B65 E 795 B ;65inç, LED TV (164cm), Android, Netflix, Siyah, Micro Dimming, HDR10+,Dolby Vision, 2 x 15 / 30 Watt nominal / müzik gücü, DVB-T2/C/S2, 3 HDMI - 2 USB GİRİŞİ, F , Parlaklık 400 nits;;46.740 TL;38950;36999;;
2TV7;B75 E 795 B ;75inç, LED TV (189cm), Android, Netflix, Siyah, Micro Dimming, HDR10+,Dolby Vision, 2 x 15 / 30 Watt nominal / müzik gücü, DVB-T2/C/S2, 3 HDMI - 2 USB GİRİŞİ, F , Parlaklık 400 nits;;63.162 TL;52635;49999;;
2TV5;B55 E 795 B ;55inç, LED TV (139cm), Android, Netflix, Sİyah, Micro Dimming, HDR10+, Dolby Vision,2 x 10 / 20 Watt nominal / müzik gücü, DVB-T2/C/S2, 3 HDMI - 2 USB GİRİŞİ, F , Parlaklık 250 nits;;29.052 TL;0;21999;BEKONOMİK NAKİT;
EK GARANTİ KODU;4K , NETFLIX ÖZELLİKLİ ANDROID UHD GOOGLE TV'LER;;;Eski Fiyat;Liste Fiyatı;Peşin Fiyat;KAMPANYASI;
2TV8;B50 D 895 A;50inç, LED TV (126cm), Android, Netflix, Dört Çekirdek, Antrasit, Micro Dimming, HDR, 2 x 10 / 20 Watt nominal / müzik gücü, DVB-T2/C/S2, 2 HDMI - 2 USB GİRİŞİ, GÜMÜŞ RENK, F;;31.578 TL;26315;24999;ÖZEL FİYATLI ÜRÜN;
2TV9;B55 E 895 A;55inç, LED TV (139cm), Android, Netflix, Micro Dimming, HDR10+, Dolby Vision, 2 x 10 / 20 Watt nominal / müzik gücü, DVB-T2/C/S2, 2 HDMI - 2 USB GİRİŞİ, GÜMÜŞ RENK, F, Parlaklık 300 NITS;;31.578 TL;29475;27999;;
2TV10;B65 E 895 A;65inç, LED TV (164cm), Android, Netflix, Micro Dimming, HDR10+, Dolby Vision, 2 x 10 / 20 Watt nominal / müzik gücü, DVB-T2/C/S2, 2 HDMI - 2 USB GİRİŞİ, GÜMÜŞ RENK, F, Parlaklık 300nits;;49.266 TL;41055;38999;;
2TV11;B75 E 895 A;75inç, LED TV (189cm), Android, Netflix, Micro Dimming, HDR10+, Dolby Vision, 2 x 15 / 30 Watt nominal / müzik gücü, DVB-T2/C/S2, 2 HDMI - 2 USB GİRİŞİ, GÜMÜŞ RENK, E , Parlaklık 400 nits;;65.688 TL;54740;51999;;
EK GARANTİ KODU;9 SERİSİ , 4K , NETFLIX ÖZELLİKLİ ANDROID UHD GOOGLE TV'LER;;;Eski Fiyat;Liste Fiyatı;Peşin Fiyat;KAMPANYASI;
2TV8;B55 D 986 S;55inç LED TV (139 cm) , GOOGLE TV,4K UHD,GÜMÜŞ, ANDROID, NETFLIX, SMART, Wi-Fi, uydu alıcılı,F;;31.578 TL;26315;24999;WEB ÖZEL ;
2TV12;B65 D 986 S;65inç LED TV (164 cm)GOOGLE TV, 4K UHD,, Gümüş, ANDROID, NETFLIX, SMART, Wi-Fi, uydu alıcılı,F;;42.948 TL;35790;33999;;
EK GARANTİ KODU; QLED TV'LER;;;Eski Fiyat;Liste Fiyatı;Peşin Fiyat;KAMPANYASI;
2TV13;B55 QE 988 A;55inç QLED TV(139 cm)4K UHD,60 Hz,Antrasit,ANDROID GOOGLE,NETFLIX,SMART,WIFI, UYDU ALICILI, F, PARLAKLIK 330 NITS, Micro Dimming, HDR10+, Dolby Vision, 2 x 10 / 20 Watt nominal / müzik gücü, DVB-T2/C/S2, 2 HDMI - 2 USB GİRİŞİ;;37.896 TL;31580;29999;ÖZEL FİYATLI ÜRÜN;
2TV14;B65 Q 987 A;65inç QLED TV(164 cm)4K UHD,60 Hz,Antrasit,ANDROID GOOGLE,NETFLIX,SMART,WIFI, UYDU ALICILI, F, Micro Dimming, HDR10+, Dolby Vision, 2 x 15 / 30 Watt nominal / müzik gücü, DVB-T2/C/S2, 2 HDMI - 2 USB GİRİŞİ;;53.052 TL;44210;41999;;
2TV15;B75 QE 988 A;75inç QLED TV(189 cm)4K UHD,60 Hz,Antrasit,ANDROID GOOGLE,NETFLIX,SMART,WIFI, UYDU ALICILI, F, PARLAKLIK 350 NITS, Micro Dimming, HDR10+, Dolby Vision,Dolby Atmos, 2 x 15 / 30 Watt nominal / müzik gücü, DVB-T2/C/S2, 2 HDMI - 2 USB GİRİŞİ;;75.792 TL;63160;59999;;
